# Incoming morph	analyses	stem part	continuations...	#<- HEADERS
V_FRONT_OPTATIVE_N_ARCHAIC	Vact|Topt|Psg1|Uarch	{MB}nön	V_FRONT_CLIT_OPT
V_FRONT_OPTATIVE_N_ARCHAIC	Vact|Topt|Psg2|Uarch	{MB}nös	V_FRONT_CLIT_OPT
V_FRONT_OPTATIVE_R_ARCHAIC	Vact|Topt|Psg1|Uarch	rön	V_FRONT_CLIT_OPT
V_FRONT_OPTATIVE_R_ARCHAIC	Vact|Topt|Psg2|Uarch	rös	V_FRONT_CLIT_OPT
V_FRONT_OPTATIVE_S_ARCHAIC	Vact|Topt|Psg1|Uarch	sön	V_FRONT_CLIT_OPT
V_FRONT_OPTATIVE_S_ARCHAIC	Vact|Topt|Psg2|Uarch	sös	V_FRONT_CLIT_OPT
V_FRONT_PASSIVE			V_FRONT_PASSIVE_DIAL
V_FRONT_PASSIVE_DIAL	Vpss|Tcond|Ppe4|Ncon|Udial	{MB}tä{MB}is	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_PASSIVE_DIAL	Vpss|Tpast|Ppe4|Udial	{MB}tii	V_FRONT_CLIT_OPT
V_FRONT_PASSIVE	Dtava	täv	A_TYÖLLISTETTÄVÄ
V_FRONT_PASSIVE_D	Vpss|Tpres|Ppe4	{MB}dään	V_FRONT_CLIT_S_OPT
V_FRONT_PASSIVE_D	Vpss|Tpres|Ppe4|Ncon	{MB}dä	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_PASSIVE_D	Vpss|Tpres|Ppe4|Uarch	{MB}dähän	V_FRONT_CLIT_S_OPT
V_FRONT_PASSIVE_L	Vpss|Tpres|Ppe4	{MB}lään	V_FRONT_CLIT_S_OPT
V_FRONT_PASSIVE_L	Vpss|Tpres|Ppe4|Ncon	{MB}lä	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_PASSIVE_L	Vpss|Tpres|Ppe4|Uarch	{MB}lähän	V_FRONT_CLIT_S_OPT
V_FRONT_PASSIVE_N	Vpss|Tpres|Ppe4|Ncon	{MB}nä	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_PASSIVE_N	Vpss|Tpres|Ppe4	{MB}nään	V_FRONT_CLIT_S_OPT
V_FRONT_PASSIVE_N	Vpss|Tpres|Ppe4|Uarch	{MB}nähän	V_FRONT_CLIT_S_OPT
V_FRONT_PASSIVE_R	Vpss|Tpres|Ppe4|Ncon	{MB}rä	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_PASSIVE_R	Vpss|Tpres|Ppe4	{MB}rään	V_FRONT_CLIT_S_OPT
V_FRONT_PASSIVE_R	Vpss|Tpres|Ppe4|Uarch	{MB}rähän	V_FRONT_CLIT_S_OPT
V_FRONT_PASSIVE_T	Vpss|Tpres|Ppe4|Ncon	{MB}tä	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_PASSIVE_T	Vpss|Tpres|Ppe4	{MB}tään	V_FRONT_CLIT_S_OPT
V_FRONT_PASSIVE_T	Vpss|Tpres|Ppe4|Uarch	{MB}tähän	V_FRONT_CLIT_S_OPT
V_FRONT_PASSIVE	Vpss|Cva|Npl	{MB}tä{MB}vä{MB}t	#
V_FRONT_PASSIVE	Vpss|Cva|Nsg	{MB}tä{MB}vä	#
V_FRONT_PASSIVE	Vpss|Ie|Xine	{MB}tä{MB}e{MB}ssä	V_FRONT_CLIT_OPT
V_FRONT_PASSIVE	Vpss|Ie|Xins	{MB}tä{MB}e{MB}n	V_FRONT_CLIT_OPT
V_FRONT_PASSIVE	Vpss|Ima|Xins	{MB}tä{MB}mä{MB}n	V_FRONT_CLIT_OPT
V_FRONT_PASSIVE	Vpss|Tcond|Ppe4|Ncon	{MB}tä{MB}isi	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_PASSIVE	Vpss|Tcond|Ppe4	{MB}tä{MB}isi{MB}in	V_FRONT_CLIT_OPT
V_FRONT_PASSIVE	Vpss|Timp|Ppe4|Ncon	{MB}tä{MB}kö	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_PASSIVE	Vpss|Timp|Ppe4	{MB}tä{MB}köön	V_FRONT_CLIT_OPT
V_FRONT_PASSIVE	Vpss|Timp|Ppe4|Uarch	{MB}tä{MB}köhön	V_FRONT_CLIT_OPT
V_FRONT_PASSIVE	Vpss|Tpast|Ppe4	{MB}ti{MB}in	V_FRONT_CLIT_OPT
V_FRONT_PASSIVE	Vpss|Tpot|Ppe4|Ncon	{MB}tä{MB}ne	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_PASSIVE	Vpss|Tpot|Ppe4	{MB}täne{MB}en	V_FRONT_CLIT_OPT
V_FRONT_PASSIVE	Vpss|Tpot|Ppe4|Uarch	{MB}täne{MB}hen	V_FRONT_CLIT_OPT
V_FRONT_POSS_AN	O3	{MB}än	V_FRONT_CLIT_OPT
V_FRONT_POSS_AN	O3|Uarch	{MB}hän	V_FRONT_CLIT_OPT
V_FRONT_POSS_AN_OBL			V_FRONT_POSS	V_FRONT_POSS_AN
V_FRONT_POSS_AN_OPT			V_FRONT_POSS	V_FRONT_POSS_AN	V_FRONT_CLIT_OPT
V_FRONT_POSS_EN	O3	{MB}en	V_FRONT_CLIT_OPT
V_FRONT_POSS_EN	O3|Uarch	{MB}hen	V_FRONT_CLIT_OPT
V_FRONT_POSS_EN_OBL			V_FRONT_POSS	V_FRONT_POSS_EN
V_FRONT_POSS	O3	{MB}nsä	V_FRONT_CLIT_OPT
V_FRONT_POSS	Opl1	{MB}mme	V_FRONT_CLIT_OPT
V_FRONT_POSS	Opl2	{MB}nne	V_FRONT_CLIT_OPT
V_FRONT_POSS	Osg1	{MB}ni	V_FRONT_CLIT_OPT
V_FRONT_POSS	Osg2	{MB}si	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_L	Dnut	{DB}l	A_ÄLLISTYNYT
V_FRONT_POTENTIAL_L	Vact|Cnut|Npl	{MB}lee{MB}t	#
V_FRONT_POTENTIAL_L	Vact|Cnut|Npl|Uarch	{MB}lehe{MB}t	#
V_FRONT_POTENTIAL_L	Vact|Cnut|Nsg	{MB}lyt	#
V_FRONT_POTENTIAL_L	Vact|Cnut|Nsg|Udial	{MB}ly	#
V_FRONT_POTENTIAL_L	Vact|Tpast|Npl|Ncon	{MB}lee{MB}t	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_L	Vact|Tpast|Npl|Ncon|Uarch	{MB}lehe{MB}t	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_L	Vact|Tpast|Nsg|Ncon	{MB}lyt	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_L	Vact|Tpast|Nsg|Ncon|Udial	{MB}ly	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_L	Vact|Tpot|Ncon	{MB}le	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_L	Vact|Tpot|Ppl1	{MB}le{MB}mme	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_L	Vact|Tpot|Ppl2	{MB}le{MB}tte	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_L	Vact|Tpot|Ppl3	{MB}le{MB}vät	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_L	Vact|Tpot|Psg1	{MB}le{MB}n	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_L	Vact|Tpot|Psg2	{MB}le{MB}t	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_L	Vact|Tpot|Psg3	{MB}le{MB}e	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_N	Dnut	{DB}n	A_ÄLLISTYNYT
V_FRONT_POTENTIAL_N	Vact|Cnut|Npl	{MB}nee{MB}t	#
V_FRONT_POTENTIAL_N	Vact|Cnut|Npl|Uarch	{MB}nehe{MB}t	#
V_FRONT_POTENTIAL_N	Vact|Cnut|Nsg	{MB}nyt	#
V_FRONT_POTENTIAL_N	Vact|Cnut|Nsg|Udial	{MB}ny	#
V_FRONT_POTENTIAL_N	Vact|Tpast|Npl|Ncon	{MB}nee{MB}t	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_N	Vact|Tpast|Npl|Ncon|Uarch	{MB}nehe{MB}t	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_N	Vact|Tpast|Nsg|Ncon	{MB}nyt	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_N	Vact|Tpast|Nsg|Ncon|Udial	{MB}ny	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_N	Vact|Tpot|Ncon	{MB}ne	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_N	Vact|Tpot|Ppl1	{MB}ne{MB}mme	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_N	Vact|Tpot|Ppl2	{MB}ne{MB}tte	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_N	Vact|Tpot|Ppl3	{MB}ne{MB}vät	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_N	Vact|Tpot|Psg1	{MB}ne{MB}n	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_N	Vact|Tpot|Psg2	{MB}ne{MB}t	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_N	Vact|Tpot|Psg3	{MB}ne{MB}e	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_R	Dnut	{DB}r	A_ÄLLISTYNYT
V_FRONT_POTENTIAL_R	Vact|Cnut|Npl	{MB}ree{MB}t	#
V_FRONT_POTENTIAL_R	Vact|Cnut|Npl|Uarch	{MB}rehe{MB}t	#
V_FRONT_POTENTIAL_R	Vact|Cnut|Nsg	{MB}ryt	#
V_FRONT_POTENTIAL_R	Vact|Cnut|Nsg|Udial	{MB}ry	#
V_FRONT_POTENTIAL_R	Vact|Tpast|Npl|Ncon	{MB}ree{MB}t	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_R	Vact|Tpast|Npl|Ncon|Uarch	{MB}rehe{MB}t	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_R	Vact|Tpast|Nsg|Ncon	{MB}ryt	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_R	Vact|Tpast|Nsg|Ncon|Udial	{MB}ry	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_R	Vact|Tpot|Ncon	{MB}re	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_R	Vact|Tpot|Ppl1	{MB}re{MB}mme	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_R	Vact|Tpot|Ppl2	{MB}re{MB}tte	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_R	Vact|Tpot|Ppl3	{MB}re{MB}vät	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_R	Vact|Tpot|Psg1	{MB}re{MB}n	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_R	Vact|Tpot|Psg2	{MB}re{MB}t	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_R	Vact|Tpot|Psg3	{MB}re{MB}e	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_S	Dnut	{DB}s	A_ÄLLISTYNYT
V_FRONT_POTENTIAL_S	Vact|Cnut|Npl	{MB}see{MB}t	#
V_FRONT_POTENTIAL_S	Vact|Cnut|Npl|Uarch	{MB}sehe{MB}t	#
V_FRONT_POTENTIAL_S	Vact|Cnut|Nsg	{MB}syt	#
V_FRONT_POTENTIAL_S	Vact|Cnut|Nsg|Udial	{MB}sy	#
V_FRONT_POTENTIAL_S	Vact|Tpast|Npl|Ncon	{MB}see{MB}t	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_S	Vact|Tpast|Npl|Ncon|Uarch	{MB}sehe{MB}t	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_S	Vact|Tpast|Nsg|Ncon	{MB}syt	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_S	Vact|Tpast|Nsg|Ncon|Udial	{MB}sy	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_S	Vact|Tpot|Ncon	{MB}se	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_POTENTIAL_S	Vact|Tpot|Ppl1	{MB}se{MB}mme	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_S	Vact|Tpot|Ppl2	{MB}se{MB}tte	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_S	Vact|Tpot|Ppl3	{MB}se{MB}vät	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_S	Vact|Tpot|Psg1	{MB}se{MB}n	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_S	Vact|Tpot|Psg2	{MB}se{MB}t	V_FRONT_CLIT_OPT
V_FRONT_POTENTIAL_S	Vact|Tpot|Psg3	{MB}se{MB}e	V_FRONT_CLIT_OPT
V_FRONT_STRONG_PAST	Vact|Tpast|Ppl3	{MB}i{MB}vät	V_FRONT_CLIT_OPT
V_FRONT_STRONG_PAST	Vact|Tpast|Psg3	{MB}i	V_FRONT_CLIT_OPT
V_FRONT_STRONG_PRESENT	Vact|Dmaisilla	{DB}mäisillä	V_FRONT_POSS_AN_OBL
V_FRONT_STRONG_PRESENT	Vact|Ima|Xabe	{MB}mä{MB}ttä	V_FRONT_POSS_AN_OPT
V_FRONT_STRONG_PRESENT	Vact|Ima|Xade	{MB}mä{MB}llä	V_FRONT_CLIT_OPT
V_FRONT_STRONG_PRESENT	Vact|Ima|Xela	{MB}mä{MB}stä	V_FRONT_CLIT_OPT
V_FRONT_STRONG_PRESENT	Vact|Ima|Xill	{MB}mä{MB}än	V_FRONT_CLIT_OPT
V_FRONT_STRONG_PRESENT	Vact|Ima|Xill|Uarch	{MB}mä{MB}hän	V_FRONT_CLIT_OPT
V_FRONT_STRONG_PRESENT	Vact|Ima|Xine	{MB}mä{MB}ssä	V_FRONT_CLIT_OPT
V_FRONT_STRONG_PRESENT	Vact|Ima|Xins	{MB}mä	V_FRONT_POSS
V_FRONT_STRONG_PRESENT	Vact|Ima|Xins	{MB}mä{MB}n	V_FRONT_CLIT_OPT
V_FRONT_STRONG_PRESENT	Vact|Tpres|Ppl3	{MB}vät	V_FRONT_CLIT_OPT
V_FRONT_TUPCP_0	Dtu	{DB}	A_YLENNETTY
V_FRONT_TUPCP_0	Vpss|Cnut|Npl	{MB}y{MB}t	#
V_FRONT_TUPCP_0	Vpss|Cnut|Nsg	{MB}ty	#
V_FRONT_TUPCP_0	Vpss|Tpast|Ppe4|Ncon	{MB}ty	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_TUPCP_D	Dtu	{DB}	A_YKSILÖITY
V_FRONT_TUPCP_D	Vpss|Cnut|Npl	{MB}dy{MB}t	#
V_FRONT_TUPCP_D	Vpss|Cnut|Nsg	{MB}ty	#
V_FRONT_TUPCP_D	Vpss|Tpast|Ppe4|Ncon	{MB}ty	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_TUPCP_L	Dtu	{DB}	A_VÄHÄTELTY
V_FRONT_TUPCP_L	Vpss|Cnut|Npl	{MB}ly{MB}t	#
V_FRONT_TUPCP_L	Vpss|Cnut|Nsg	{MB}ty	#
V_FRONT_TUPCP_L	Vpss|Tpast|Ppe4|Ncon	{MB}ty	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_TUPCP_N	Dtu	{DB}	A_MENTY
V_FRONT_TUPCP_N	Vpss|Cnut|Npl	{MB}ny{MB}t	#
V_FRONT_TUPCP_N	Vpss|Cnut|Nsg	{MB}ty	#
V_FRONT_TUPCP_N	Vpss|Tpast|Ppe4|Ncon	{MB}ty	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_TUPCP_R	Dtu	{DB}	A_PIERTY
V_FRONT_TUPCP_R	Vpss|Cnut|Npl	{MB}ry{MB}t	#
V_FRONT_TUPCP_R	Vpss|Cnut|Nsg	{MB}ty	#
V_FRONT_TUPCP_R	Vpss|Tpast|Ppe4|Ncon	{MB}ty	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_TUPCP_STRONG	Dtu	{DB}ty	A_HÄPÄISTY
V_FRONT_TUPCP_STRONG	Vpss|Cnut|Npl	{MB}ty{MB}t	#
V_FRONT_TUPCP_STRONG	Vpss|Cnut|Nsg	{MB}ty	#
V_FRONT_TUPCP_STRONG	Vpss|Tpast|Ppe4|Ncon	{MB}ty	V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_WEAK_PAST			V_WEAK_PAST_DIAL_CLIT_KS
V_FRONT_WEAK_PAST	Vact|Tpast|Ppl1	{MB}i{MB}mme	V_FRONT_CLIT_OPT
V_FRONT_WEAK_PAST	Vact|Tpast|Ppl2	{MB}i{MB}tte	V_FRONT_CLIT_OPT
V_FRONT_WEAK_PAST	Vact|Tpast|Psg1	{MB}i{MB}n	V_FRONT_CLIT_OPT
V_FRONT_WEAK_PAST	Vact|Tpast|Psg2	{MB}i{MB}t	V_FRONT_CLIT_OPT
V_FRONT_WEAK_PRESENT			V_WEAK_PRESENT_DIAL_CLIT_KS
V_FRONT_WEAK_PRESENT	Vact|Timp|Psg2		V_FRONT_CLIT_S_OPT
V_FRONT_WEAK_PRESENT	Vact|Tpres|Ncon		V_FRONT_CLIT_KIN_KAAN_OPT
V_FRONT_WEAK_PRESENT	Vact|Tpres|Ppl1	{MB}mme	V_FRONT_CLIT_OPT
V_FRONT_WEAK_PRESENT	Vact|Tpres|Ppl2	{MB}tte	V_FRONT_CLIT_OPT
V_FRONT_WEAK_PRESENT	Vact|Tpres|Psg1	{MB}n	V_FRONT_CLIT_OPT
V_FRONT_WEAK_PRESENT	Vact|Tpres|Psg2	{MB}t	V_FRONT_CLIT_OPT
V_WEAK_PAST_DIAL_CLIT_KS	Vact|Tpast|Psg1|Qko|Udial	{MB}i{MB}ks	#
V_WEAK_PAST_DIAL_CLIT_KS	Vact|Tpast|Psg2|Qko|Udial	{MB}i{MB}ks	#
V_WEAK_PRESENT_DIAL_CLIT_KS	Vact|Tpres|Psg1|Qko|Udial	{MB}ks	#
V_WEAK_PRESENT_DIAL_CLIT_KS	Vact|Tpres|Psg2|Qko|Udial	{MB}ks	#
